,name,protein,protein_akg_pct,portion_for_protein
66,Beberuk,1.1,0.018333333333333333,54.54545454545454
67,Beef yakiniku masakan,9.8,0.16333333333333336,6.122448979591836
68,Belimbing,0.4,0.006666666666666667,150.0
69,Belut goreng,25.9,0.43166666666666664,2.316602316602317
70,Belut segar,14.6,0.24333333333333332,4.109589041095891
71,Bentul (Komba)  talas segar,1.6,0.02666666666666667,37.5
72,Beras Cerdas,2.7,0.045000000000000005,22.22222222222222
73,Beras Giling,6.8,0.11333333333333333,8.823529411764707
74,Beras Ketan Hitam,7.0,0.11666666666666667,8.571428571428571
75,Beras Ketan Hitam kukus,4.0,0.06666666666666667,15.0
76,Beras Ketan Hitam tape,3.8,0.06333333333333332,15.789473684210527
77,Beras Ketan Putih,6.7,0.11166666666666666,8.955223880597014
78,Beras Ketan Putih kukus,3.0,0.05,20.0
79,Beras Ketan Putih tape,3.0,0.05,20.0
80,Beras Ketan Putih tumbuk,7.4,0.12333333333333334,8.108108108108107
81,Beras Parboiled,6.8,0.11333333333333333,8.823529411764707
82,Beras Setengah Giling,7.6,0.12666666666666665,7.894736842105264
83,Beras giling mentah,8.4,0.14,7.142857142857142
84,Beras giling var pelita mentah,9.5,0.15833333333333333,6.315789473684211
85,Beras hitam mentah,8.0,0.13333333333333333,7.5
86,Beras jagung putih kering mentah,4.8,0.08,12.5
87,Beras ketan hitam tumbuk mentah,8.0,0.13333333333333333,7.5
88,Beras ladang mentah,7.5,0.125,8.0
89,Beras menir mentah,7.7,0.12833333333333333,7.792207792207792
90,Beras parboiled,6.8,0.11333333333333333,8.823529411764707
91,Beras tumbuk mentah,7.8,0.13,7.6923076923076925
92,Beras tumbuk merah mentah,7.3,0.12166666666666666,8.219178082191782
93,Betok wadi masakan,16.3,0.27166666666666667,3.680981595092024
94,Bihun goreng instan,6.1,0.10166666666666666,9.836065573770492
95,Bihun mentah,4.7,0.07833333333333334,12.76595744680851
96,Biji nangka/Biji salak,2.3,0.03833333333333333,26.086956521739133
97,Bir (4% alkohol),0.6,0.01,100.0
98,Biskuit,6.9,0.115,8.695652173913043
99,Bit,1.6,0.02666666666666667,37.5
100,Biwah segar,0.3,0.005,200.0
101,Bonggol Pisang,2.6,0.043333333333333335,23.076923076923077
102,Bongkrek (tempe bungkil),4.4,0.07333333333333333,13.636363636363635
103,Boros Laja (lengkuas),1.0,0.016666666666666666,60.0
104,Brongkos,15.3,0.255,3.9215686274509802
105,Buah Mentega (bisbul),0.7,0.011666666666666665,85.71428571428572
106,Buah Naga Merah segar,1.7,0.028333333333333332,35.294117647058826
107,Buah Naga Putih segar,0.8,0.013333333333333334,75.0
108,Buah kelenting segar,1.4,0.02333333333333333,42.85714285714286
109,Buah kelor,1.5,0.025,40.0
110,Buah kom segar,4.0,0.06666666666666667,15.0
111,Buah negri segar,1.2,0.02,50.0
112,Buah rotan segar,0.6,0.01,100.0
113,Buah rukam segar,0.8,0.013333333333333334,75.0
114,Buah ruruhi segar,2.1,0.035,28.57142857142857
115,Buaya daging dendeng mentah,49.6,0.8266666666666667,1.2096774193548387
116,Bubur sagu,0.2,0.0033333333333333335,300.0
117,Bubur tinotuan (Manado),2.3,0.03833333333333333,26.086956521739133
118,Bulgogi masakan,11.4,0.19,5.263157894736842
119,Bulung Jajan,16.9,0.2816666666666666,3.550295857988166
120,Buncis asam,5.1,0.08499999999999999,11.764705882352942
121,Buncis rebus,2.2,0.03666666666666667,27.27272727272727
122,Bunga pepaya segar,2.6,0.043333333333333335,23.076923076923077
123,Bunga turi segar,2.0,0.03333333333333333,30.0
124,Bungkil Kacang Tanah,37.4,0.6233333333333333,1.6042780748663101
125,Bungkil Kelapa,23.0,0.38333333333333336,2.608695652173913
126,Buntil ,4.4,0.07333333333333333,13.636363636363635
127,Cabai gembor merah segar,1.6,0.02666666666666667,37.5
128,Cabai hijau segar,0.7,0.011666666666666665,85.71428571428572
129,Cabai merah kering,15.9,0.265,3.7735849056603774
130,Cabai merah segar,1.0,0.016666666666666666,60.0
131,Cabai rawit segar,4.7,0.07833333333333334,12.76595744680851
132,Caisin segar,1.7,0.028333333333333332,35.294117647058826
133,Cakalang asar (asap papua),20.1,0.335,2.9850746268656714
134,Cake tape,4.9,0.08166666666666668,12.244897959183673
135,Cammetutu,3.2,0.05333333333333334,18.75
136,Cantel mentah,11.0,0.18333333333333332,5.454545454545454
137,Cap cai sayur,5.8,0.09666666666666666,10.344827586206897
138,Cassavastick,0.8,0.013333333333333334,75.0
139,Cempedak,3.0,0.05,20.0
140,Cengkeh kering,5.2,0.08666666666666667,11.538461538461538
141,Centel,11.0,0.18333333333333332,5.454545454545454
142,Ceriping getuk singkong,1.2,0.02,50.0
143,Chicken teriyaki masakan,13.0,0.21666666666666667,4.615384615384615
144,Coklat Susu batang,9.0,0.15,6.666666666666667
145,Corned Beef,16.0,0.26666666666666666,3.75
146,Coto mangkasara sapi masakan,6.0,0.1,10.0
147,Cue Selar Kuning,27.0,0.45,2.2222222222222223
148,Cuka,0.1,0.0016666666666666668,600.0
149,Daging Anak Sapi,19.1,0.31833333333333336,3.1413612565445024
150,Daging Asap,32.0,0.5333333333333333,1.875
151,Daging Domba,17.1,0.28500000000000003,3.508771929824561
152,Daging Kambing,16.6,0.27666666666666667,3.614457831325301
153,Daging Kerbau,18.7,0.31166666666666665,3.2085561497326203
154,Daging Kuda,18.1,0.3016666666666667,3.3149171270718227
155,Daging Sapi,18.8,0.31333333333333335,3.1914893617021276
156,Daun Bawang,1.8,0.030000000000000002,33.333333333333336
157,Daun Beluntas,1.8,0.030000000000000002,33.333333333333336
158,Daun Cincau,6.0,0.1,10.0
159,Daun Jambu Mete muda,4.6,0.07666666666666666,13.043478260869566
160,Daun Kacang Panjang kukus,3.7,0.06166666666666667,16.216216216216214
161,Daun Kecipir,5.0,0.08333333333333333,12.0
162,Daun Kedondong,2.8,0.04666666666666666,21.42857142857143
163,Daun Kelor,6.7,0.11166666666666666,8.955223880597014
164,Daun Kelor rebus,6.1,0.10166666666666666,9.836065573770492
165,Daun Kemangi,4.0,0.06666666666666667,15.0
166,Daun Koro,3.0,0.05,20.0
167,Daun Labu Siam,4.0,0.06666666666666667,15.0
168,Daun Labu Waluh,3.6,0.060000000000000005,16.666666666666668
169,Daun Lompong Tales,3.0,0.05,20.0
170,Daun Melinjo,5.0,0.08333333333333333,12.0
171,Daun Mengkudu Kukus,3.8,0.06333333333333332,15.789473684210527
172,Daun Pakis,4.0,0.06666666666666667,15.0
173,Daun Pete Cina,12.0,0.2,5.0
174,Daun Poh-pohan,2.5,0.041666666666666664,24.0
175,Daun Semanggi,4.4,0.07333333333333333,13.636363636363635
176,Daun Singkong,6.8,0.11333333333333333,8.823529411764707
177,Daun Singkong lodeh,4.0,0.06666666666666667,15.0
178,Daun Singkong rebus,3.7,0.06166666666666667,16.216216216216214
179,Daun Sintrong,2.6,0.043333333333333335,23.076923076923077
180,Daun Ubi Jalar,2.8,0.04666666666666666,21.42857142857143
181,Daun bawang  merah segar,2.0,0.03333333333333333,30.0
182,Daun bebuas segar,2.7,0.045000000000000005,22.22222222222222
183,Daun belem segar,4.4,0.07333333333333333,13.636363636363635
184,Daun gedi besar segar,2.9,0.04833333333333333,20.689655172413794
185,Daun gelang segar,1.3,0.021666666666666667,46.15384615384615
186,Daun jampang segar,3.8,0.06333333333333332,15.789473684210527
187,Daun jonghe segar,2.1,0.035,28.57142857142857
188,Daun kacang ma segar,2.9,0.04833333333333333,20.689655172413794
189,Daun kacang panjang segar,3.1,0.051666666666666666,19.35483870967742
190,Daun katuk rebus,5.3,0.08833333333333333,11.320754716981133
191,Daun katuk segar,6.4,0.10666666666666667,9.375
192,Daun kesum segar,4.5,0.075,13.333333333333334
193,Daun kol sawi segar,2.1,0.035,28.57142857142857
194,Daun kubis segar,2.5,0.041666666666666664,24.0
195,Daun lamtoro segar,8.3,0.13833333333333334,7.228915662650602
196,Daun leilem segar,2.8,0.04666666666666666,21.42857142857143
197,Daun matel ambon segar,6.8,0.11333333333333333,8.823529411764707
198,Daun oyong segar,1.0,0.016666666666666666,60.0
199,Daun pakis longgiho segar,2.2,0.03666666666666667,27.27272727272727
200,Daun pakis segar,4.5,0.075,13.333333333333334
201,Daun pakis wambateu segar,3.4,0.056666666666666664,17.647058823529413
202,Daun paku segar,3.4,0.056666666666666664,17.647058823529413
203,Daun pangisegar,3.9,0.065,15.384615384615385
204,Daun pare segar,2.7,0.045000000000000005,22.22222222222222
205,Daun pepaya segar,8.0,0.13333333333333333,7.5
206,Daun salam  bubuk,14.2,0.23666666666666666,4.225352112676057
207,Daun semanggi segar,4.4,0.07333333333333333,13.636363636363635
208,Daun singkil segar,2.0,0.03333333333333333,30.0
209,Daun singkong ambon segar,12.7,0.21166666666666664,4.724409448818898
210,Daun singkong ampenan segar,6.2,0.10333333333333333,9.67741935483871
211,Daun singkong kopang segar,6.3,0.105,9.523809523809524
212,Daun singkong segar,6.2,0.10333333333333333,9.67741935483871
213,Daun talas rebus,1.3,0.021666666666666667,46.15384615384615
214,Daun talas segar,3.0,0.05,20.0
215,Daun tespong segar,2.9,0.04833333333333333,20.689655172413794
216,Daun ubi kuning segar,3.7,0.06166666666666667,16.216216216216214
217,Daun ubi merah kukus,3.1,0.051666666666666666,19.35483870967742
218,Daun ubi merah segar,3.0,0.05,20.0
219,Daun ubi tinta segar,1.7,0.028333333333333332,35.294117647058826
220,Deblo ,2.0,0.03333333333333333,30.0
221,Dendeng Daging Sapi,55.0,0.9166666666666666,1.0909090909090908
222,Dideh darah ayam,13.8,0.23,4.3478260869565215
223,Dideh darah sapi,21.9,0.365,2.7397260273972606
224,Dodol,3.0,0.05,20.0
225,Dodol bali,3.7,0.06166666666666667,16.216216216216214
226,Dodol banjarmasin,2.6,0.043333333333333335,23.076923076923077
227,Dodol galamai,0.4,0.006666666666666667,150.0
228,Domba daging kurus  segar,17.1,0.28500000000000003,3.508771929824561
229,Domba ginjal segar,16.6,0.27666666666666667,3.614457831325301
230,Durian,2.5,0.041666666666666664,24.0
231,Eceng Gondok,1.0,0.016666666666666666,60.0
232,Emping (kerupuk melinjo),12.0,0.2,5.0
233,Emping beras,10.6,0.17666666666666667,5.660377358490567
